,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
227,2024-01-31,167.32731963782894,161.73553889534713,172.0441933671254,165.35274109643083,169.59990036306183,-0.786970071083975,-0.786970071083975,-0.786970071083975,-0.786970071083975,-0.786970071083975,-0.786970071083975,0.0,0.0,0.0,166.54034956674496
228,2024-02-01,167.67641422514944,162.28043389576106,172.19110771649326,165.6156936343346,170.06565432666574,-0.6154982767859305,-0.6154982767859305,-0.6154982767859305,-0.6154982767859305,-0.6154982767859305,-0.6154982767859305,0.0,0.0,0.0,167.06091594836352
229,2024-02-02,168.02550881246992,162.99912200455574,173.3351332133223,165.86580674024836,170.52354269276825,-0.023446273756837818,-0.023446273756837818,-0.023446273756837818,-0.023446273756837818,-0.023446273756837818,-0.023446273756837818,0.0,0.0,0.0,168.0020625387131
230,2024-02-03,168.37460339979043,163.6302512377645,174.86786331306644,166.10248616572378,170.99354068494597,0.9584152025349936,0.9584152025349936,0.9584152025349936,0.9584152025349936,0.9584152025349936,0.9584152025349936,0.0,0.0,0.0,169.3330186023254
231,2024-02-04,168.7236979871109,164.2268227177584,175.23087234397715,166.3484327086648,171.45751124502124,0.9584156083904941,0.9584156083904941,0.9584156083904941,0.9584156083904941,0.9584156083904941,0.9584156083904941,0.0,0.0,0.0,169.6821135955014
232,2024-02-05,169.0727925744314,163.60649947657353,174.22586854086916,166.6006767698918,171.87210057148448,-0.07832600151986746,-0.07832600151986746,-0.07832600151986746,-0.07832600151986746,-0.07832600151986746,-0.07832600151986746,0.0,0.0,0.0,168.99446657291153
233,2024-02-06,169.4218871617519,163.91323451875732,175.03314744361072,166.85787408876143,172.3107853002168,-0.4125901877764348,-0.4125901877764348,-0.4125901877764348,-0.4125901877764348,-0.4125901877764348,-0.4125901877764348,0.0,0.0,0.0,169.00929697397547
234,2024-02-07,169.77098174907235,163.31083206527322,174.57534635628414,167.09882961700112,172.83203905858954,-0.7869700710840166,-0.7869700710840166,-0.7869700710840166,-0.7869700710840166,-0.7869700710840166,-0.7869700710840166,0.0,0.0,0.0,168.98401167798832
235,2024-02-08,170.12007633639286,163.8170234271825,175.3811617425588,167.33745862644304,173.29540412446514,-0.6154982767852962,-0.6154982767852962,-0.6154982767852962,-0.6154982767852962,-0.6154982767852962,-0.6154982767852962,0.0,0.0,0.0,169.50457805960755
236,2024-02-09,170.46917092371336,164.52335823395325,176.07902486274705,167.5821676215489,173.78008123209756,-0.023446273760164803,-0.023446273760164803,-0.023446273760164803,-0.023446273760164803,-0.023446273760164803,-0.023446273760164803,0.0,0.0,0.0,170.4457246499532
